Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
2129.0,0.32071141004562376,0.32585840821266177,0.43736339211463926,0.7577246000000001,0.8248953938484191,0.33509458899497985,0.3514093101024628,0.642752742767334,0.6559906840324402,0.7758445978164673,0.14774300456047057,0.7075999736785888,0.48768998980522155,0.7644399881362915,0.6648352146148682,0.5433661937713623,0.60742,0.4950740098953247,0.6000519871711731,0.512571370601654,0.6920186159999999,0.5343874096870422,0.871452796459198,0.6916678190231323,0.9088635563850402,0.7215127825737,0.3555565118789673,0.6740559697151184,0.6863854765892029
2130.0,0.3205310106277466,0.3270550072193146,0.437283992767334,0.757901,0.8251948356628418,0.3350119888782501,0.3476831614971161,0.6424636840820312,0.6546655893325806,0.7749159932136536,0.14735500514507294,0.7079376578330994,0.48783499002456665,0.7630299925804138,0.6653140187263489,0.5412135720252991,0.6073,0.4947200119495392,0.5999159812927246,0.5123936533927917,0.692277014,0.5334176421165466,0.8714579939842224,0.6920310258865356,0.9089037775993347,0.721580982208252,0.3554922044277191,0.674019992351532,0.6857553720474243
2131.0,0.320181405544281,0.32815720438957213,0.4373389959335327,0.7579354,0.8254942655563354,0.33504239320755,0.3454433441162109,0.6421746492385865,0.6537928462028504,0.7742077946662903,0.14721740484237672,0.7082430720329285,0.4878141939640045,0.7609633922576904,0.6652560114860535,0.5390610575675965,0.60796,0.4946890115737915,0.5999659895896912,0.5125488638877869,0.6927604077999999,0.5324479103088379,0.8710315942764282,0.6925456166267395,0.9089439868927002,0.7214435815811158,0.3553887605667114,0.6739840149879456,0.6851253032684326
2132.0,0.31983180046081544,0.3292594015598297,0.4373939990997314,0.7579698,0.8257936954498291,0.33507279753685,0.3432035267353058,0.6418856143951416,0.6529201030731201,0.773499596118927,0.14707980453968048,0.7085484862327576,0.4877933979034424,0.7588967919349671,0.665198004245758,0.5369085431098938,0.6086199999999999,0.4946580111980438,0.6000159978866577,0.512704074382782,0.6932438016,0.5314781785011291,0.870605194568634,0.6930602073669434,0.9089841961860656,0.7213061809539795,0.35528531670570374,0.6739480376243592,0.6844952344894409
2133.0,0.31948219537734984,0.3303615987300873,0.4374490022659302,0.7580042,0.8260931253433228,0.3351032018661499,0.3409637093544006,0.6415965795516968,0.6520473599433899,0.7727913975715637,0.14694220423698426,0.7088539004325867,0.48777260184288024,0.7568301916122436,0.6651399970054627,0.5347560286521912,0.60928,0.49462701082229615,0.6000660061836243,0.5128592848777771,0.6937271953999999,0.5305084466934205,0.8701787948608398,0.6935747981071472,0.9090244054794312,0.7211687803268433,0.35518187284469604,0.6739120602607727,0.6838651657104492
2134.0,0.3191325902938843,0.33146379590034486,0.4375040054321289,0.7580386,0.8263925552368164,0.33513360619544985,0.3387238919734955,0.6413075447082519,0.6511746168136596,0.7720831990242004,0.146804603934288,0.7091593146324158,0.48775180578231814,0.7547635912895203,0.6650819897651672,0.5326035141944885,0.60994,0.49459601044654844,0.6001160144805908,0.5130144953727722,0.6942105892,0.5295387148857117,0.8697523951530457,0.694089388847351,0.9090646147727967,0.721031379699707,0.35507842898368835,0.6738760828971863,0.6832350969314576
2135.0,0.3187829852104187,0.3325659930706024,0.43755900859832764,0.758073,0.8266919851303101,0.33516401052474976,0.33648407459259033,0.6410185098648071,0.6503018736839294,0.7713750004768372,0.1466670036315918,0.7094647288322449,0.487731009721756,0.7526969909667969,0.6650239825248718,0.5304509997367859,0.6106,0.4945650100708008,0.6001660227775574,0.5131697058677673,0.694693983,0.5285689830780029,0.8693259954452515,0.6946039795875549,0.9091048240661621,0.7208939790725708,0.35497498512268066,0.6738401055335999,0.6826050281524658
2136.0,0.3185529887676239,0.33353119492530825,0.43760040402412415,0.7581142,0.8264486193656921,0.3351300060749054,0.33419466614723203,0.6413024425506592,0.6492627501487732,0.7705530047416687,0.14697940349578859,0.7097230076789856,0.48785820603370667,0.7489735960960389,0.6648957848548889,0.5278165817260743,0.6113660000000001,0.494635009765625,0.6001392126083374,0.5132630705833435,0.6953379872,0.5306097865104675,0.8686828017234802,0.695188581943512,0.908922016620636,0.7207847833633423,0.35478354096412656,0.6738034129142761,0.6828333735466003
2137.0,0.3183229923248291,0.334496396780014,0.43764179944992065,0.7581554,0.8262052536010742,0.33509600162506104,0.3319052577018738,0.6415863752365112,0.648223626613617,0.7697310090065003,0.14729180335998535,0.7099812865257263,0.48798540234565735,0.7452502012252807,0.664767587184906,0.5251821637153625,0.612132,0.4947050094604492,0.6001124024391175,0.5133564352989197,0.6959819913999999,0.5326505899429321,0.868039608001709,0.695773184299469,0.9087392091751099,0.7206755876541138,0.3545920968055725,0.6737667202949524,0.6830617189407349
2138.0,0.3180929958820343,0.33546159863471986,0.43768319487571716,0.7581966,0.8259618878364563,0.3350619971752167,0.3296158492565155,0.6418703079223633,0.6471845030784606,0.7689090132713318,0.14760420322418213,0.710239565372467,0.48811259865760803,0.7415268063545227,0.6646393895149231,0.5225477457046509,0.612898,0.49477500915527345,0.6000855922698974,0.5134498000144958,0.6966259956,0.5346913933753967,0.8673964142799377,0.696357786655426,0.9085564017295837,0.7205663919448853,0.3544006526470184,0.6737300276756286,0.6832900643348694
2139.0,0.3178629994392395,0.33642680048942564,0.43772459030151367,0.7582378000000001,0.8257185220718384,0.3350279927253723,0.32732644081115725,0.6421542406082154,0.6461453795433044,0.7680870175361634,0.1479166030883789,0.7104978442192078,0.4882397949695587,0.7378034114837646,0.6645111918449402,0.5199133276939392,0.613664,0.49484500885009763,0.6000587821006775,0.513543164730072,0.6972699998,0.5367321968078613,0.8667532205581665,0.6969423890113831,0.9083735942840576,0.7204571962356567,0.3542092084884644,0.6736933350563049,0.6835184097290039
2140.0,0.3176330029964447,0.33739200234413147,0.4377659857273102,0.758279,0.8254751563072205,0.33499398827552795,0.32503703236579895,0.6424381732940674,0.6451062560081482,0.7672650218009949,0.14822900295257568,0.7107561230659485,0.4883669912815094,0.7340800166130066,0.6643829941749573,0.5172789096832275,0.61443,0.4949150085449219,0.6000319719314575,0.5136365294456482,0.697914004,0.5387730002403259,0.8661100268363953,0.6975269913673401,0.9081907868385315,0.7203480005264282,0.3540177643299103,0.6736566424369812,0.6837467551231384
2141.0,0.31743280291557313,0.33840000033378603,0.4377073884010315,0.7582136,0.8252318024635314,0.3350787878036499,0.32315555214881897,0.6427220940589905,0.6443434238433838,0.7666758179664612,0.14935460090637206,0.7109471917152405,0.48840499520301817,0.7289032101631164,0.6645691990852356,0.5146446108818055,0.615216,0.4952802062034607,0.5999413728713989,0.5137539505958557,0.6980634090000001,0.5408136963844299,0.8657552242279053,0.6980733871459961,0.9080079913139343,0.7201604008674621,0.353739994764328,0.6736199498176575,0.683975100517273
2142.0,0.31723260283470156,0.33940799832344054,0.4376487910747528,0.7581482,0.8249884486198426,0.3351635873317719,0.321274071931839,0.6430060148239136,0.6435805916786194,0.7660866141319275,0.15048019886016845,0.7111382603645324,0.488442999124527,0.7237264037132263,0.6647554039955139,0.5120103120803833,0.616002,0.4956454038619995,0.5998507738113403,0.5138713717460632,0.698212814,0.542854392528534,0.8654004216194153,0.6986197829246521,0.9078251957893372,0.719972801208496,0.3534622251987457,0.6735832571983338,0.6842034459114075
2143.0,0.31703240275382993,0.3404159963130951,0.43759019374847413,0.7580828,0.8247450947761535,0.3352483868598938,0.319392591714859,0.6432899355888366,0.642817759513855,0.7654974102973938,0.15160579681396485,0.7113293290138245,0.48848100304603576,0.7185495972633362,0.6649416089057922,0.5093760132789612,0.616788,0.49601060152053833,0.5997601747512817,0.5139887928962708,0.6983622190000001,0.5448950886726379,0.8650456190109252,0.6991661787033081,0.90764240026474,0.7197852015495301,0.3531844556331635,0.67354656457901,0.684431791305542
2144.0,0.31683220267295836,0.3414239943027496,0.4375315964221954,0.7580174,0.8245017409324646,0.33533318638801574,0.31751111149787903,0.6435738563537597,0.6420549273490905,0.7649082064628601,0.15273139476776124,0.7115203976631165,0.4885190069675446,0.7133727908134461,0.6651278138160706,0.506741714477539,0.6175740000000001,0.49637579917907715,0.5996695756912231,0.5141062140464783,0.698511624,0.546935784816742,0.8646908164024353,0.6997125744819641,0.9074596047401429,0.719597601890564,0.3529066860675812,0.6735098719596863,0.6846601366996765
2145.0,0.3166320025920868,0.3424319922924042,0.43747299909591675,0.757952,0.8242583870887756,0.3354179859161377,0.31562963128089905,0.6438577771186829,0.6412920951843262,0.7643190026283264,0.15385699272155762,0.7117114663124084,0.48855701088905334,0.7081959843635559,0.6653140187263489,0.5041074156761169,0.61836,0.49674099683761597,0.5995789766311646,0.5142236351966858,0.698661029,0.548976480960846,0.8643360137939453,0.7002589702606201,0.9072768092155457,0.7194100022315979,0.3526289165019989,0.6734731793403625,0.684888482093811
2146.0,0.31640400290489196,0.3436091959476471,0.4374077975749969,0.7578408,0.8241259217262268,0.3354135870933533,0.31338714361190795,0.6432286500930786,0.6401996612548828,0.7634883999824524,0.15593679547309874,0.7120240330696106,0.48856220841407777,0.7011745929718017,0.6653118133544922,0.5026895523071289,0.61904,0.49739320278167726,0.5992663860321045,0.5143720030784606,0.6986584184,0.5503961086273194,0.8642098069190979,0.7009381771087646,0.9072924733161927,0.7191596031188965,0.3522322416305542,0.6725082278251648,0.6850025415420532
2147.0,0.3161760032176971,0.34478639960289004,0.43734259605407716,0.7577296,0.8239934563636779,0.33540918827056887,0.31114465594291685,0.6425995230674744,0.6391072273254395,0.7626577973365783,0.1580165982246399,0.7123365998268127,0.4885674059391022,0.6941532015800476,0.6653096079826355,0.5012716889381409,0.61972,0.49804540872573855,0.5989537954330444,0.5145203709602356,0.6986558078,0.5518157362937928,0.8640836000442504,0.7016173839569092,0.9073081374168396,0.7189092040061951,0.3518355667591095,0.671543276309967,0.6851166009902954
2148.0,0.31594800353050234,0.3459636032581329,0.43727739453315734,0.7576183999999999,0.8238609910011292,0.3354047894477844,0.3089021682739258,0.6419703960418701,0.6380147933959961,0.7618271946907044,0.16009640097618102,0.7126491665840149,0.48857260346412656,0.6871318101882935,0.6653074026107788,0.4998538255691528,0.6204,0.4986976146697998,0.5986412048339844,0.5146687388420105,0.6986531972,0.5532353639602661,0.8639573931694031,0.7022965908050537,0.9073238015174866,0.7186588048934937,0.3514388918876648,0.6705783247947693,0.6852306604385376
2149.0,0.3157200038433075,0.34714080691337584,0.43721219301223757,0.7575071999999999,0.8237285256385803,0.335400390625,0.3066596806049347,0.6413412690162659,0.6369223594665527,0.7609965920448303,0.16217620372772218,0.712961733341217,0.488577800989151,0.6801104187965393,0.6653051972389221,0.4984359622001648,0.62108,0.4993498206138611,0.5983286142349243,0.5148171067237854,0.6986505866,0.5546549916267395,0.8638311862945557,0.7029757976531983,0.9073394656181335,0.7184084057807922,0.35104221701622007,0.6696133732795715,0.6853447198867798
2150.0,0.31549200415611267,0.3483180105686188,0.43714699149131775,0.757396,0.8235960602760315,0.3353959918022156,0.3044171929359436,0.6407121419906616,0.6358299255371094,0.7601659893989563,0.1642560064792633,0.7132743000984192,0.4885829985141754,0.6730890274047852,0.6653029918670654,0.49701809883117676,0.62176,0.5000020265579224,0.5980160236358643,0.5149654746055603,0.698647976,0.5560746192932129,0.8637049794197083,0.7036550045013428,0.9073551297187805,0.7181580066680908,0.3506455421447754,0.6686484217643738,0.685458779335022
2151.0,0.3153148055076599,0.3494502067565918,0.4372051954269409,0.7575535999999999,0.8234636068344117,0.33539179563522337,0.2999259114265442,0.6400830507278442,0.6346651434898376,0.7596337914466857,0.16709440648555757,0.713504946231842,0.48860999941825867,0.6651932239532471,0.6647917985916137,0.49560030102729796,0.62234,0.5003306269645691,0.5975472211837769,0.5149823904037476,0.6990139841999999,0.5574941754341125,0.8635251879692077,0.7042922019958496,0.9073707818984985,0.718018400669098,0.3501597702503204,0.6676835179328918,0.6855728387832641
2152.0,0.31513760685920716,0.35058240294456483,0.4372633993625641,0.7577111999999999,0.8233311533927917,0.3353875994682312,0.29543462991714475,0.6394539594650268,0.6335003614425659,0.7591015934944153,0.1699328064918518,0.7137355923652648,0.4886370003223419,0.657297420501709,0.6642806053161621,0.49418250322341917,0.62292,0.5006592273712158,0.5970784187316894,0.5149993062019348,0.6993799923999999,0.5589137315750122,0.8633453965187072,0.7049293994903565,0.9073864340782165,0.717878794670105,0.3496739983558655,0.6667186141014099,0.6856868982315063
2153.0,0.3149604082107544,0.35171459913253783,0.43732160329818726,0.7578688,0.8231986999511719,0.335383403301239,0.2909433484077454,0.6388248682022095,0.6323355793952942,0.7585693955421448,0.17277120649814606,0.7139662384986878,0.48866400122642517,0.6494016170501709,0.6637694120407105,0.4927647054195404,0.6234999999999999,0.5009878277778625,0.5966096162796021,0.5150162220001221,0.6997460006,0.5603332877159118,0.8631656050682068,0.7055665969848632,0.9074020862579346,0.7177391886711121,0.3491882264614105,0.665753710269928,0.6858009576797486
2154.0,0.31478320956230166,0.3528467953205109,0.4373798072338104,0.7580264,0.823066246509552,0.33537920713424685,0.28645206689834596,0.6381957769393921,0.6311707973480225,0.7580371975898743,0.1756096065044403,0.7141968846321106,0.4886910021305084,0.6415058135986328,0.6632582187652588,0.49134690761566163,0.62408,0.5013164281845093,0.5961408138275146,0.5150331377983093,0.7001120088,0.5617528438568116,0.8629858136177063,0.7062037944793701,0.9074177384376526,0.7175995826721191,0.3487024545669556,0.6647888064384461,0.6859150171279907
2155.0,0.3146060109138489,0.3539789915084839,0.4374380111694336,0.758184,0.8229337930679321,0.33537501096725464,0.28196078538894653,0.6375666856765747,0.6300060153007507,0.7575049996376038,0.17844800651073456,0.7144275307655334,0.4887180030345917,0.6336100101470947,0.6627470254898071,0.48992910981178284,0.62466,0.501645028591156,0.5956720113754272,0.5150500535964966,0.700478017,0.5631723999977112,0.8628060221672058,0.706840991973877,0.9074333906173706,0.7174599766731262,0.3482166826725006,0.6638239026069641,0.6860290765762329
2156.0,0.3142988085746765,0.3549251914024353,0.4372552096843719,0.7581562,0.823052728176117,0.3354058086872101,0.28027442693710325,0.6369534730911255,0.6286433935165405,0.7565768003463745,0.18197860419750214,0.7146265625953674,0.48859440088272094,0.6285778045654297,0.6626562237739563,0.4880287706851959,0.625006,0.5019914269447326,0.595304012298584,0.5148680329322814,0.7002688166,0.5622386574745178,0.8627624154090882,0.7071359992027283,0.9073436856269836,0.717242980003357,0.3475286602973938,0.6631993293762207,0.686387813091278
2157.0,0.31399160623550415,0.35587139129638673,0.4370724081993103,0.7581283999999999,0.8231716632843018,0.33543660640716555,0.27858806848526,0.6363402605056763,0.6272807717323303,0.7556486010551453,0.18550920188426973,0.7148255944252014,0.4884707987308502,0.6235455989837646,0.6625654220581054,0.486128431558609,0.625352,0.5023378252983093,0.5949360132217407,0.5146860122680664,0.7000596162,0.5613049149513245,0.8627188086509705,0.7074310064315796,0.9072539806365967,0.7170259833335877,0.346840637922287,0.6625747561454773,0.6867465496063232
2158.0,0.3136844038963318,0.3568175911903381,0.43688960671424865,0.7581006,0.8232905983924865,0.33546740412712095,0.27690171003341674,0.635727047920227,0.6259181499481201,0.754720401763916,0.18903979957103728,0.7150246262550354,0.4883471965789795,0.6185133934020997,0.6624746203422547,0.4842280924320221,0.625698,0.502684223651886,0.5945680141448975,0.5145039916038513,0.6998504158,0.5603711724281311,0.8626752018928527,0.7077260136604309,0.9071642756462097,0.7168089866638183,0.3461526155471802,0.6619501829147338,0.6871052861213685
2159.0,0.3133772015571594,0.3577637910842896,0.43670680522918703,0.7580728,0.8234095335006714,0.3354982018470764,0.2752153515815735,0.6351138353347778,0.6245555281639099,0.7537922024726867,0.19257039725780487,0.7152236580848694,0.4882235944271088,0.6134811878204346,0.6623838186264038,0.4823277533054352,0.626044,0.5030306220054627,0.5942000150680542,0.5143219709396363,0.6996412154,0.5594374299049377,0.8626315951347351,0.7080210208892822,0.9070745706558228,0.716591989994049,0.34546459317207334,0.6613256096839905,0.6874640226364136
2160.0,0.31306999921798706,0.35870999097824097,0.43652400374412537,0.758045,0.8235284686088562,0.33552899956703186,0.2735289931297302,0.6345006227493286,0.6231929063796997,0.7528640031814575,0.19610099494457245,0.7154226899147034,0.48809999227523804,0.6084489822387695,0.662293016910553,0.48042741417884827,0.62639,0.5033770203590393,0.5938320159912109,0.5141399502754211,0.699432015,0.5585036873817444,0.8625879883766174,0.7083160281181335,0.9069848656654358,0.7163749933242798,0.34477657079696655,0.6607010364532471,0.6878227591514587
2161.0,0.31280519962310793,0.3596805930137634,0.4365242004394531,0.7578556,0.823647391796112,0.33552460074424745,0.2738471508026123,0.6338874340057373,0.6219933271408081,0.752758800983429,0.19967519640922546,0.7156499147415161,0.48800639510154725,0.6057801842689514,0.6619854092597961,0.478527170419693,0.626528,0.5032304167747498,0.592673408985138,0.5140200972557067,0.699410617,0.5575699925422668,0.8630667924880981,0.7085006237030029,0.9068951725959777,0.7161601901054382,0.34397772550582884,0.6600764870643616,0.688181483745575
2162.0,0.31254040002822875,0.3606511950492859,0.43652439713478086,0.7576662,0.8237663149833679,0.33552020192146303,0.27416530847549436,0.633274245262146,0.6207937479019165,0.7526535987854004,0.20324939787387847,0.7158771395683289,0.48791279792785647,0.6031113862991333,0.6616778016090393,0.47662692666053774,0.626666,0.5030838131904602,0.5915148019790649,0.5139002442359925,0.699389219,0.5566362977027893,0.8635455965995789,0.7086852192878723,0.9068054795265198,0.7159453868865967,0.3431788802146912,0.659451937675476,0.6885402083396912
2163.0,0.3122756004333496,0.36162179708480835,0.43652459383010866,0.7574768000000001,0.8238852381706238,0.33551580309867857,0.2744834661483765,0.6326610565185546,0.6195941686630249,0.7525483965873718,0.2068235993385315,0.7161043643951416,0.4878192007541656,0.6004425883293152,0.6613701939582824,0.4747266829013824,0.626804,0.5029372096061706,0.590356194972992,0.513780391216278,0.6993678210000001,0.5557026028633117,0.8640244007110596,0.7088698148727417,0.9067157864570617,0.7157305836677551,0.34238003492355346,0.6588273882865906,0.6888989329338073
2164.0,0.31201080083847044,0.3625923991203308,0.4365247905254364,0.7572874,0.8240041613578797,0.33551140427589415,0.27480162382125856,0.6320478677749634,0.6183945894241333,0.7524431943893433,0.21039780080318451,0.7163315892219544,0.48772560358047484,0.5977737903594971,0.6610625863075257,0.47282643914222716,0.626942,0.5027906060218811,0.5891975879669189,0.5136605381965638,0.699346423,0.5547689080238343,0.8645032048225403,0.7090544104576111,0.9066260933876038,0.7155157804489136,0.3415811896324158,0.658202838897705,0.6892576575279236
2165.0,0.3117460012435913,0.36356300115585327,0.43652498722076416,0.757098,0.8241230845451355,0.33550700545310974,0.2751197814941406,0.6314346790313721,0.6171950101852417,0.7523379921913147,0.21397200226783752,0.7165588140487671,0.48763200640678406,0.595104992389679,0.6607549786567688,0.4709261953830719,0.62708,0.5026440024375916,0.588038980960846,0.5135406851768494,0.699325025,0.5538352131843567,0.864982008934021,0.7092390060424805,0.9065364003181458,0.715300977230072,0.3407823443412781,0.6575782895088196,0.6896163821220398
2166.0,0.31157299876213074,0.36458860039711,0.43654438853263855,0.7568728,0.8238991260528564,0.3355294048786163,0.27412782311439515,0.6309389114379883,0.6160315752029419,0.7515879988670349,0.21744640171527863,0.7167874574661255,0.48754820227622986,0.5948759913444519,0.6600209832191467,0.46764349937438965,0.627244,0.5026453971862793,0.5868651866912842,0.5133660197257995,0.6990994214,0.5522294163703918,0.8648698091506958,0.7093860030174255,0.9065466284751892,0.714972984790802,0.33978564143180845,0.6561184048652648,0.6905724763870239
2167.0,0.31139999628067017,0.3656141996383667,0.43656378984451294,0.7566476,0.8236751675605773,0.3355518043041229,0.2731358647346497,0.6304431438446045,0.6148681402206421,0.7508380055427551,0.22092080116271973,0.7170161008834839,0.48746439814567566,0.5946469902992249,0.6592869877815246,0.4643608033657074,0.627408,0.5026467919349671,0.5856913924217224,0.5131913542747497,0.6988738178,0.550623619556427,0.8647576093673706,0.7095329999923706,0.9065568566322326,0.714644992351532,0.3387889385223389,0.6546585202217102,0.691528570652008
2168.0,0.3112269937992096,0.3666397988796234,0.43658319115638733,0.7564224,0.8234512090682984,0.33557420372962954,0.27214390635490415,0.6299473762512207,0.6137047052383423,0.7500880122184753,0.22439520061016083,0.7172447443008423,0.48738059401512146,0.5944179892539978,0.6585529923439026,0.46107810735702515,0.627572,0.5026481866836547,0.5845175981521606,0.5130166888237,0.6986482142,0.5490178227424621,0.8646454095840455,0.7096799969673157,0.9065670847892762,0.7143169999122619,0.33779223561286925,0.6531986355781555,0.6924846649169922
2169.0,0.311053991317749,0.3676653981208801,0.4366025924682617,0.7561972,0.8232272505760193,0.3355966031551361,0.2711519479751587,0.6294516086578369,0.6125412702560424,0.7493380188941956,0.22786960005760193,0.7174733877182007,0.48729678988456726,0.5941889882087708,0.6578189969062805,0.4577954113483429,0.627736,0.5026495814323425,0.5833438038825989,0.5128420233726502,0.6984226106,0.5474120259284974,0.8645332098007202,0.7098269939422608,0.9065773129463196,0.713989007472992,0.3367955327033997,0.6517387509346009,0.6934407591819763
2170.0,0.31088098883628845,0.36869099736213684,0.4366219937801361,0.755972,0.8230032920837402,0.3356190025806427,0.2701599895954132,0.6289558410644531,0.6113778352737427,0.7485880255699158,0.23134399950504303,0.7177020311355591,0.48721298575401306,0.5939599871635437,0.6570850014686584,0.45451271533966064,0.6279,0.5026509761810303,0.5821700096130371,0.5126673579216003,0.698197007,0.5458062291145325,0.864421010017395,0.7099739909172058,0.906587541103363,0.7136610150337219,0.33579882979393005,0.6502788662910461,0.6943968534469604
2171.0,0.31059839129447936,0.3694570004940033,0.4365261971950531,0.7559568,0.8227793335914612,0.3356220006942749,0.2721105873584747,0.6284600973129273,0.6104103207588196,0.7479424238204956,0.23428280055522918,0.7179485917091369,0.4872067868709564,0.593711793422699,0.6563639998435974,0.4512301743030548,0.627962,0.5030245780944824,0.5802122116088867,0.5123973608016967,0.6981236098,0.5442005038261414,0.8648888111114502,0.7099897980690002,0.9065977692604065,0.7132498145103454,0.33457929491996763,0.6488190531730652,0.6953529000282288
