Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
1353.0,0.35283900499343873,0.5946136116981506,0.22471780180931092,0.35915400000000003,0.8225005745887757,0.29028438925743105,0.8329365849494934,0.8392914652824401,0.8726735711097717,0.825941801071167,0.7237428069114685,0.8696964859962464,0.37772960066795347,0.8843744039535523,0.5333788156509399,0.49578986763954164,0.4813127934932709,0.6179821968078614,0.5068050146102905,0.8540388107299804,0.6405718922615051,0.8866751909255981,0.8910019993782043,0.9033140182495117,0.736572003364563,0.5194100141525269,0.41747910976409913,0.7750161170959473
1354.0,0.35329500436782835,0.5935918092727661,0.22471440136432647,0.360113,0.8225568771362305,0.2903441905975342,0.8327187895774841,0.8395151257514953,0.871343195438385,0.8264234066009521,0.7226173996925354,0.8692171812057495,0.3778737962245941,0.8808372139930725,0.5331724166870118,0.4963136076927185,0.4811613917350769,0.6186115980148316,0.5069470167160034,0.8525894165039063,0.6406720876693726,0.8860795855522156,0.8905889987945557,0.9027202248573303,0.7368360042572022,0.5189733505249023,0.4178961873054504,0.7733617067337036
1355.0,0.353751003742218,0.5925700068473816,0.22471100091934204,0.361072,0.8226131796836853,0.29040399193763733,0.8325009942054749,0.8397387862205505,0.8700128197669983,0.8269050121307373,0.7214919924736023,0.8687378764152527,0.37801799178123474,0.8773000240325928,0.5329660177230835,0.4968373477458954,0.48100998997688293,0.6192409992218018,0.5070890188217163,0.851140022277832,0.64077228307724,0.885483980178833,0.890175998210907,0.9021264314651489,0.7371000051498413,0.5185366868972778,0.41831326484680176,0.77170729637146
1356.0,0.3538546025753021,0.591960608959198,0.22511039972305297,0.3619456,0.8227423310279847,0.2905423939228058,0.8328447937965393,0.8398518681526184,0.8688704609870911,0.8277052044868469,0.7205887913703919,0.8683466672897339,0.37833919525146487,0.8761176228523254,0.5336928129196167,0.4968192517757416,0.4806443929672241,0.6189257979393006,0.5072360157966613,0.8500400185585022,0.6403793811798095,0.8851601839065552,0.8902529954910279,0.9023981094360352,0.7370688080787658,0.5179680109024047,0.4187040090560913,0.770889675617218
1357.0,0.35395820140838624,0.5913512110710144,0.22550979852676392,0.3628192,0.8228714823722839,0.29068079590797424,0.8331885933876038,0.8399649500846863,0.8677281022071839,0.8285053968429565,0.7196855902671814,0.867955458164215,0.37866039872169494,0.8749352216720581,0.5344196081161499,0.49680115580558776,0.4802787959575653,0.6186105966567993,0.5073830127716065,0.8489400148391724,0.6399864792823792,0.8848363876342773,0.8903299927711487,0.9026697874069214,0.7370376110076904,0.5173993349075318,0.41909475326538087,0.770072054862976
1358.0,0.3540618002414703,0.5907418131828308,0.22590919733047485,0.3636928,0.8230006337165833,0.2908191978931427,0.8335323929786682,0.8400780320167541,0.8665857434272766,0.8293055891990662,0.718782389163971,0.8675642490386963,0.37898160219192506,0.8737528204917908,0.5351464033126831,0.49678305983543397,0.4799131989479065,0.6182953953742981,0.5075300097465515,0.8478400111198425,0.6395935773849487,0.8845125913619996,0.8904069900512696,0.9029414653778076,0.737006413936615,0.5168306589126587,0.4194854974746704,0.7692544341087342
1359.0,0.35416539907455447,0.5901324152946472,0.2263085961341858,0.3645664,0.8231297850608825,0.29095759987831116,0.8338761925697327,0.8401911139488221,0.8654433846473694,0.8301057815551758,0.7178791880607605,0.8671730399131775,0.37930280566215513,0.8725704193115235,0.5358731985092163,0.49676496386528013,0.4795476019382477,0.6179801940917968,0.5076770067214966,0.8467400074005127,0.6392006754875184,0.8841887950897217,0.8904839873313903,0.9032131433486938,0.7369752168655396,0.5162619829177857,0.41987624168396,0.7684368133544922
1360.0,0.35426899790763855,0.5895230174064636,0.22670799493789673,0.36544,0.8232589364051819,0.2910960018634796,0.8342199921607971,0.8403041958808899,0.8643010258674622,0.8309059739112854,0.71697598695755,0.8667818307876587,0.37962400913238525,0.8713880181312561,0.5365999937057495,0.49674686789512634,0.47918200492858887,0.6176649928092957,0.5078240036964417,0.8456400036811829,0.6388077735900879,0.8838649988174438,0.8905609846115112,0.9034848213195801,0.7369440197944641,0.5156933069229126,0.4202669858932495,0.7676191926002502
1361.0,0.35491359829902647,0.5888216137886048,0.2270197957754135,0.3668012,0.8235615611076355,0.29116080403327943,0.8353981971740723,0.8399043321609497,0.8634616255760192,0.8318971753120422,0.7159129858016968,0.8663535237312316,0.3797990083694458,0.8717166185379028,0.5372531890869141,0.497248238325119,0.4792086064815521,0.6163681983947754,0.5072112083435059,0.8452947974205017,0.6384886503219604,0.8837939977645874,0.8896965861320496,0.9037597894668579,0.7364216208457947,0.5143719792366028,0.42044333815574647,0.7672481775283814
1362.0,0.35555819869041444,0.5881202101707459,0.2273315966129303,0.3681624,0.8238641858100891,0.29122560620307925,0.8365764021873474,0.8395044684410096,0.8626222252845764,0.832888376712799,0.7148499846458435,0.8659252166748047,0.37997400760650635,0.8720452189445496,0.5379063844680786,0.4977496087551117,0.47923520803451536,0.6150714039802552,0.5065984129905701,0.8449495911598206,0.638169527053833,0.8837229967117309,0.8888321876525879,0.9040347576141358,0.7358992218971252,0.513050651550293,0.42061969041824343,0.7668771624565125
1363.0,0.35620279908180236,0.5874188065528869,0.2276433974504471,0.3695236,0.8241668105125427,0.291290408372879,0.8377546072006226,0.8391046047210693,0.8617828249931335,0.833879578113556,0.7137869834899903,0.8654969096183777,0.3801490068435669,0.8723738193511963,0.5385595798492432,0.49825097918510436,0.47926180958747866,0.6137746095657348,0.5059856176376343,0.8446043848991394,0.6378504037857056,0.8836519956588745,0.8879677891731262,0.9043097257614136,0.7353768229484559,0.5117293238639832,0.42079604268074033,0.7665061473846435
1364.0,0.35684739947319033,0.586717402935028,0.22795519828796387,0.3708848,0.8244694352149964,0.2913552105426788,0.8389328122138977,0.8387047410011291,0.8609434247016907,0.8348707795143128,0.7127239823341369,0.8650686025619507,0.38032400608062744,0.872702419757843,0.5392127752304077,0.49875234961509707,0.4792884111404419,0.6124778151512146,0.5053728222846985,0.8442591786384582,0.6375312805175781,0.883580994606018,0.8871033906936645,0.9045846939086915,0.7348544239997864,0.5104079961776733,0.4209723949432373,0.7661351323127746
1365.0,0.35749199986457825,0.5860159993171692,0.22826699912548065,0.372246,0.82477205991745,0.29142001271247864,0.8401110172271729,0.838304877281189,0.8601040244102478,0.8358619809150696,0.7116609811782837,0.8646402955055237,0.380499005317688,0.8730310201644897,0.5398659706115723,0.4992537200450897,0.47931501269340515,0.6111810207366943,0.5047600269317627,0.8439139723777771,0.6372121572494507,0.8835099935531616,0.8862389922142029,0.9048596620559692,0.7343320250511169,0.5090866684913635,0.42114874720573425,0.7657641172409058
1366.0,0.35790119767189027,0.5850921988487243,0.2286547988653183,0.3733134,0.8243402719497681,0.2916520118713379,0.8414508104324341,0.8372707605361939,0.8591719031333923,0.8363527894020081,0.7109951853752137,0.8642767906188965,0.3808176040649414,0.8720428109169006,0.5400829792022706,0.4994130849838257,0.4796436131000519,0.6108944177627563,0.504457426071167,0.8420327782630921,0.6371357202529907,0.884145200252533,0.8862157940864563,0.9045306324958802,0.734388017654419,0.5067358374595642,0.42145033478736876,0.7652629375457763
1367.0,0.3583103954792023,0.5841683983802796,0.22904259860515594,0.3743808,0.8239084839820862,0.2918840110301971,0.8427906036376953,0.8362366437911988,0.8582397818565368,0.8368435978889466,0.7103293895721435,0.8639132857322693,0.38113620281219485,0.8710546016693115,0.5402999877929687,0.49957244992256167,0.4799722135066986,0.6106078147888183,0.5041548252105713,0.840151584148407,0.6370592832565307,0.8847804069519043,0.8861925959587097,0.904201602935791,0.734444010257721,0.5043850064277648,0.4217519223690033,0.7647617578506469
1368.0,0.35871959328651426,0.5832445979118347,0.2294303983449936,0.3754482,0.8234766960144043,0.2921160101890564,0.8441303968429565,0.8352025270462036,0.8573076605796814,0.837334406375885,0.7096635937690735,0.863549780845642,0.3814548015594482,0.8700663924217225,0.540516996383667,0.4997318148612976,0.48030081391334534,0.6103212118148804,0.5038522243499756,0.838270390033722,0.6369828462600708,0.8854156136512756,0.8861693978309632,0.9038725733757019,0.7345000028610229,0.5020341753959656,0.42205350995063784,0.7642605781555176
1369.0,0.3591287910938263,0.5823207974433899,0.22981819808483123,0.3765156,0.8230449080467224,0.29234800934791566,0.8454701900482178,0.8341684103012085,0.856375539302826,0.8378252148628235,0.7089977979660034,0.8631862759590149,0.38177340030670165,0.8690781831741333,0.5407340049743652,0.49989117980003356,0.48062941431999207,0.6100346088409424,0.5035496234893799,0.8363891959190368,0.6369064092636109,0.886050820350647,0.8861461997032165,0.9035435438156127,0.7345559954643249,0.4996833443641663,0.42235509753227235,0.7637593984603882
1370.0,0.3595379889011383,0.5813969969749451,0.23020599782466888,0.377583,0.8226131200790405,0.2925800085067749,0.846809983253479,0.8331342935562134,0.8554434180259705,0.838316023349762,0.7083320021629333,0.8628227710723877,0.3820919990539551,0.8680899739265442,0.5409510135650635,0.5000505447387695,0.4809580147266388,0.6097480058670044,0.5032470226287842,0.8345080018043518,0.6368299722671509,0.8866860270500183,0.88612300157547,0.9032145142555237,0.734611988067627,0.49733251333236694,0.42265668511390686,0.7632582187652588
1371.0,0.36016579270362853,0.5806681990623475,0.23058559894561767,0.378838,0.8224585056304932,0.2929162085056305,0.8459049820899963,0.8313276886940002,0.8546529412269592,0.8393418192863464,0.707273805141449,0.8622393608093262,0.3823639988899231,0.865805184841156,0.5413368105888366,0.49959005117416383,0.4811446130275726,0.6094056010246277,0.5026146173477173,0.8318762063980103,0.6358232378959656,0.8865792274475097,0.8857136011123657,0.9032412052154541,0.7346715927124023,0.49584200978279114,0.4226718008518219,0.7627608895301818
1372.0,0.36079359650611875,0.5799394011497497,0.23096520006656646,0.380093,0.8223038911819458,0.2932524085044861,0.8449999809265136,0.8295210838317871,0.853862464427948,0.8403676152229309,0.7062156081199646,0.8616559505462646,0.3826359987258911,0.8635203957557678,0.5417226076126098,0.4991295576095581,0.4813312113285065,0.609063196182251,0.5019822120666504,0.8292444109916687,0.6348165035247803,0.8864724278450012,0.8853042006492615,0.9032678961753845,0.7347311973571777,0.49435150623321533,0.42268691658973695,0.762263560295105
1373.0,0.36142140030860903,0.5792106032371521,0.23134480118751527,0.38134799999999996,0.8221492767333984,0.2935886085033417,0.844094979763031,0.827714478969574,0.8530719876289368,0.8413934111595154,0.7051574110984802,0.8610725402832031,0.38290799856185914,0.8612356066703797,0.5421084046363831,0.49866906404495237,0.4815178096294403,0.6087207913398742,0.5013498067855835,0.8266126155853272,0.633809769153595,0.8863656282424927,0.8848948001861572,0.903294587135315,0.7347908020019531,0.4928610026836395,0.42270203232765197,0.761766231060028
1374.0,0.36204920411109925,0.5784818053245544,0.23172440230846406,0.38260299999999997,0.8219946622848511,0.29392480850219727,0.8431899785995484,0.8259078741073609,0.8522815108299255,0.8424192070960999,0.7040992140769958,0.8604891300201416,0.3831799983978271,0.8589508175849915,0.5424942016601563,0.49820857048034667,0.48170440793037417,0.6083783864974975,0.5007174015045166,0.8239808201789856,0.6328030347824096,0.8862588286399842,0.884485399723053,0.9033212780952453,0.7348504066467285,0.4913704991340637,0.42271714806556704,0.7612689018249512
1375.0,0.3626770079135895,0.5777530074119568,0.23210400342941284,0.383858,0.8218400478363037,0.29426100850105286,0.8422849774360657,0.8241012692451477,0.8514910340309143,0.8434450030326843,0.7030410170555115,0.8599057197570801,0.38345199823379517,0.8566660284996033,0.5428799986839294,0.49774807691574097,0.481891006231308,0.6080359816551208,0.5000849962234497,0.821349024772644,0.6317963004112244,0.8861520290374756,0.8840759992599487,0.9033479690551758,0.7349100112915039,0.4898799955844879,0.42273226380348206,0.7607715725898743
1376.0,0.3628194034099579,0.5765584111213684,0.23225900232791902,0.38498519999999997,0.8204977512359619,0.29427560567855837,0.8422599792480469,0.8214846968650817,0.8507084131240845,0.84308340549469,0.7022114157676697,0.8591643333435058,0.3837041974067688,0.8514070272445678,0.5425549983978272,0.49798441529273985,0.4778074026107788,0.6083419799804688,0.5002941966056824,0.8163870215415955,0.6284608960151672,0.886225426197052,0.8839210033416748,0.9036946892738342,0.7352382063865661,0.4878799974918365,0.4225545167922974,0.7588335752487183
1377.0,0.3629617989063263,0.57536381483078,0.23241400122642517,0.38611239999999997,0.8191554546356201,0.29429020285606383,0.842234981060028,0.8188681244850159,0.8499257922172546,0.8427218079566956,0.7013818144798278,0.8584229469299316,0.38395639657974245,0.8461480259895324,0.5422299981117249,0.4982207536697388,0.47372379899024963,0.6086479783058166,0.500503396987915,0.8114250183105469,0.6251254916191101,0.8862988233566285,0.8837660074234008,0.9040414094924927,0.7355664014816284,0.4858799993991852,0.42237676978111266,0.7568955779075622
1378.0,0.3631041944026947,0.5741692185401917,0.23256900012493134,0.3872396,0.8178131580352783,0.29430480003356935,0.8422099828720093,0.8162515521049499,0.8491431713104248,0.8423602104187011,0.7005522131919861,0.8576815605163575,0.38420859575271604,0.8408890247344971,0.5419049978256225,0.49845709204673766,0.46964019536972046,0.6089539766311646,0.5007125973701477,0.8064630150794982,0.621790087223053,0.8863722205162048,0.883611011505127,0.9043881297111511,0.7358945965766907,0.4838800013065338,0.422199022769928,0.7549575805664063
1379.0,0.3632465898990631,0.5729746222496033,0.2327239990234375,0.3883668,0.8164708614349365,0.2943193972110748,0.8421849846839905,0.8136349797248841,0.8483605504035949,0.8419986128807068,0.6997226119041443,0.8569401741027832,0.3844607949256897,0.8356300234794617,0.5415799975395202,0.4986934304237366,0.4655565917491913,0.6092599749565124,0.5009217977523803,0.8015010118484497,0.6184546828269959,0.8864456176757812,0.883456015586853,0.9047348499298096,0.736222791671753,0.48188000321388247,0.42202127575874326,0.7530195832252502
1380.0,0.3633889853954315,0.5717800259590149,0.23287899792194366,0.389494,0.8151285648345947,0.2943339943885803,0.8421599864959717,0.8110184073448181,0.8475779294967651,0.8416370153427124,0.6988930106163025,0.856198787689209,0.38471299409866333,0.8303710222244263,0.541254997253418,0.4989297688007355,0.4614729881286621,0.6095659732818604,0.501130998134613,0.7965390086174011,0.6151192784309387,0.8865190148353577,0.8833010196685791,0.905081570148468,0.7365509867668152,0.4798800051212311,0.4218435287475586,0.7510815858840942
1381.0,0.36393078565597536,0.5714102149009704,0.23365919888019562,0.3906374,0.8147177338600159,0.2944821953773499,0.8405305862426757,0.8064793944358826,0.8470910906791687,0.8436176180839539,0.6969280123710633,0.8554094672203064,0.38357179760932925,0.8261786222457885,0.5425148010253906,0.4987915515899658,0.45564578771591185,0.6058629751205444,0.49941120147705076,0.7820170044898986,0.5984506368637085,0.8864484071731568,0.8809856176376343,0.9050248980522155,0.7356771945953369,0.47742350697517394,0.42198448777198794,0.747843337059021
1382.0,0.36447258591651915,0.571040403842926,0.23443939983844758,0.3917808,0.8143069028854371,0.2946303963661194,0.8389011859893799,0.801940381526947,0.8466042518615723,0.8455982208251953,0.694963014125824,0.8546201467514039,0.3824306011199951,0.8219862222671509,0.5437746047973633,0.4986533343791962,0.4498185873031616,0.6021599769592285,0.49769140481948854,0.7674950003623963,0.5817819952964782,0.8863777995109559,0.8786702156066895,0.9049682259559632,0.7348034024238587,0.4749670088291168,0.4221254467964172,0.7446050882339478
1383.0,0.365014386177063,0.5706705927848816,0.2352196007966995,0.3929242,0.8138960719108581,0.2947785973548889,0.837271785736084,0.7974013686180115,0.8461174130439758,0.8475788235664368,0.6929980158805847,0.8538308262825012,0.381289404630661,0.8177938222885132,0.5450344085693359,0.4985151171684265,0.4439913868904114,0.5984569787979126,0.49597160816192626,0.7529729962348938,0.5651133537292481,0.8863071918487548,0.8763548135757446,0.9049115538597107,0.7339296102523803,0.4725105106830597,0.42226640582084657,0.7413668394088745
